arm,seed,step,aux_active,margin,entropy,pos_score,neg_score,logit_var,grad_score,grad_hidden,grad_Wq,grad_Wk,hidden_cos_gap,proj_qk_cos_gap,task_loss
A,0,0,False,-0.023330140858888626,1.3775548934936523,-0.059165194630622864,-0.03583505377173424,0.017199668850025773,0.005074218846857548,0.05100414529442787,0.03328881412744522,0.03392777219414711,0.5379939572352063,-0.01806871170750431,3.726430654525757
A,0,250,False,0.780879020690918,0.4080420136451721,-12.674478530883789,-13.455357551574707,20.84844365902245,0.0077551063150167465,0.019927218556404114,0.07689814269542694,0.14372900128364563,0.12344015120955493,0.0012687356114232662,1.7463874816894531
A,0,500,False,0.44599246978759766,0.3167424201965332,-15.063461303710938,-15.509453773498535,60.995753141120076,0.006286569405347109,0.014577186666429043,0.08846992254257202,0.16893672943115234,0.09173174323708128,0.006775163065564471,1.7421680688858032
A,0,750,False,-1.0041446685791016,0.1456761658191681,-25.251148223876953,-24.24700355529785,128.66083457693458,0.003406140487641096,0.010402092710137367,0.04443495348095894,0.08506804704666138,0.10602828807896003,-0.01827390846544097,1.6418514251708984
A,0,1000,False,-0.15213775634765625,0.04722331091761589,-37.14364242553711,-36.99150466918945,543.7926269844174,0.005095765460282564,0.011865520849823952,0.06377576291561127,0.1659790575504303,0.08375990645921166,-0.015776147512951866,1.500138759613037
A,0,1250,False,-3.9764671325683594,0.17493873834609985,-35.234981536865234,-31.258514404296875,220.96576673164964,0.0034058329183608294,0.008120357058942318,0.035553451627492905,0.08006464689970016,0.10458946690778248,-0.060569831635802984,1.567707896232605
A,0,1500,False,-6.638500213623047,0.1452692449092865,-47.34445571899414,-40.705955505371094,686.9739110656083,0.0011186259798705578,0.005929436068981886,0.026975329965353012,0.050105489790439606,0.12225717909071437,-0.06987099431474536,1.6215636730194092
A,0,1750,False,-5.1957550048828125,0.00606766901910305,-70.2424545288086,-65.04669952392578,2578.221133708954,0.0017077611992135644,0.0068315016105771065,0.02503366209566593,0.08103412389755249,0.08164077360803884,-0.0499607050587656,1.5695008039474487
A,0,2000,False,0.2965888977050781,0.023779327049851418,-52.469383239746094,-52.76597213745117,3403.040729522705,0.0024410493206232786,0.010815599001944065,0.023110901936888695,0.10749837756156921,0.04249130651927163,0.005864921603157824,1.6556880474090576
A,0,2250,False,3.2306976318359375,0.030793670564889908,-78.03790283203125,-81.26860046386719,4237.451100349426,0.0005098095862194896,0.0038768332451581955,0.0014525348087772727,0.00472048157826066,0.021831613208632916,0.018349153819144703,1.6676124334335327
