benchmark,seed,decoder,question_id,predicted,correct,latency_s,scores
mock,1,vanilla,0,0,True,0.0010228170000345926,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,vanilla,1,1,False,0.0005961209999441053,"[-60.00000022169442, -1.788139396552426e-07]"
mock,1,vanilla,2,1,False,0.0006005069999446278,"[-60.00000022169442, -1.788139396552426e-07]"
mock,1,vanilla,3,0,True,0.0005806469999924957,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,vanilla,4,1,False,0.0004961170000115089,"[-60.00000022169442, -1.788139396552426e-07]"
mock,1,vanilla,5,1,False,0.0007981550000977222,"[-60.00000022169442, -1.788139396552426e-07]"
mock,1,vanilla,6,0,True,0.0005396569999902567,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,vanilla,7,1,False,0.0005403860000114946,"[-60.00000022169442, -1.788139396552426e-07]"
mock,1,vanilla,8,1,False,0.0006583809999938239,"[-60.00000022169442, -1.788139396552426e-07]"
mock,1,vanilla,9,0,True,0.0004927620000216848,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,vanilla,10,1,False,0.0005648420000170518,"[-60.00000022169442, -1.788139396552426e-07]"
mock,1,vanilla,11,1,False,0.0005495760000258088,"[-60.00000022169442, -1.788139396552426e-07]"
mock,1,vanilla,12,0,True,0.0005863239999825964,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,vanilla,13,1,False,0.0004926369999793678,"[-60.00000022169442, -1.788139396552426e-07]"
mock,1,vanilla,14,1,False,0.0006035959999053375,"[-60.00000022169442, -1.788139396552426e-07]"
mock,1,vanilla,15,0,True,0.0005208670000911297,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,vanilla,16,1,False,0.0005198479999535266,"[-60.00000022169442, -1.788139396552426e-07]"
mock,1,vanilla,17,1,False,0.0005570829999896887,"[-60.00000022169442, -1.788139396552426e-07]"
mock,1,vanilla,18,0,True,0.000542282999958843,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,vanilla,19,1,False,0.0005468969999355977,"[-60.00000022169442, -1.788139396552426e-07]"
mock,1,vanilla,20,1,False,0.0005730670000048121,"[-60.00000022169442, -1.788139396552426e-07]"
mock,1,vanilla,21,0,True,0.0005136170000241691,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,vanilla,22,1,False,0.0005323170000792743,"[-60.00000022169442, -1.788139396552426e-07]"
mock,1,vanilla,23,1,False,0.0005311959999971805,"[-60.00000022169442, -1.788139396552426e-07]"
mock,1,vanilla,24,0,True,0.0005724320000126681,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,vanilla,25,1,False,0.00048564799999439856,"[-60.00000022169442, -1.788139396552426e-07]"
mock,1,vanilla,26,1,False,0.0005999090000159413,"[-60.00000022169442, -1.788139396552426e-07]"
mock,1,vanilla,27,0,True,0.0004832280000073297,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,vanilla,28,1,False,0.0005672580000464222,"[-60.00000022169442, -1.788139396552426e-07]"
mock,1,vanilla,29,1,False,0.0005128179999474014,"[-60.00000022169442, -1.788139396552426e-07]"
mock,1,vanilla,30,0,True,0.0006184320000102161,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,vanilla,31,1,False,0.000500515999988238,"[-60.00000022169442, -1.788139396552426e-07]"
mock,1,vanilla,32,1,False,0.0005755140000474057,"[-60.00000022169442, -1.788139396552426e-07]"
mock,1,vanilla,33,0,True,0.0005570490000081918,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,vanilla,34,1,False,0.0004944369999293485,"[-60.00000022169442, -1.788139396552426e-07]"
mock,1,vanilla,35,1,False,0.0005925829999569032,"[-60.00000022169442, -1.788139396552426e-07]"
mock,1,vanilla,36,0,True,0.000492982999958258,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,vanilla,37,1,False,0.0006384639999623687,"[-60.00000022169442, -1.788139396552426e-07]"
mock,1,vanilla,38,1,False,0.000535103000061099,"[-60.00000022169442, -1.788139396552426e-07]"
mock,1,vanilla,39,0,True,0.0005550449999418561,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,vanilla,40,1,False,0.0004862199999706718,"[-60.00000022169442, -1.788139396552426e-07]"
mock,1,vanilla,41,1,False,0.0005609309999954348,"[-60.00000022169442, -1.788139396552426e-07]"
mock,1,vanilla,42,0,True,0.0005621010000140814,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,vanilla,43,1,False,0.000574681000102828,"[-60.00000022169442, -1.788139396552426e-07]"
mock,1,vanilla,44,1,False,0.000546698999983164,"[-60.00000022169442, -1.788139396552426e-07]"
mock,1,vanilla,45,0,True,0.0005187529999375329,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,vanilla,46,1,False,0.0005449650000173278,"[-60.00000022169442, -1.788139396552426e-07]"
mock,1,vanilla,47,1,False,0.0005407879999665965,"[-60.00000022169442, -1.788139396552426e-07]"
mock,1,conventional_blend,0,0,True,0.0011510540000472247,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,conventional_blend,1,0,True,0.0008196489999363621,"[-1.2163955000467022, -3.295837032451347]"
mock,1,conventional_blend,2,0,True,0.0009117340000557306,"[-1.2163955000467022, -3.295837032451347]"
mock,1,conventional_blend,3,0,True,0.0006566810000094847,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,conventional_blend,4,0,True,0.0007616220000272733,"[-1.2163955000467022, -3.295837032451347]"
mock,1,conventional_blend,5,0,True,0.0011056079999889334,"[-1.2163955000467022, -3.295837032451347]"
mock,1,conventional_blend,6,0,True,0.0009943810000550002,"[-1.788139396552426e-07, -60.00000022169442]"
mock,1,conventional_blend,7,0,True,0.0007377309999583304,"[-1.2163955000467022, -3.295837032451347]"
