0,5000000,1000,0,42,0.05,0.0
5000000,10000000,1001,1,43,0.06537,0.01
10000000,15000000,1002,2,44,0.08065,0.02
15000000,20000000,1003,3,45,0.09575,0.03
20000000,25000000,1004,4,46,0.11057,0.04
25000000,30000000,1000,5,47,0.12504,0.05
30000000,35000000,1001,6,42,0.13907,0.06
35000000,40000000,1002,7,43,0.15256,0.0
40000000,45000000,1003,8,44,0.16545,0.01
45000000,50000000,1004,0,45,0.17766,0.02
50000000,55000000,1000,1,46,0.18912,0.03
55000000,60000000,1001,2,47,0.19975,0.04
60000000,65000000,1002,3,42,0.20949,0.05
65000000,70000000,1003,4,43,0.21829,0.06
70000000,75000000,1004,5,44,0.2261,0.0
75000000,80000000,1000,6,45,0.23287,0.01
80000000,85000000,1001,7,46,0.23855,0.02
85000000,90000000,1002,8,47,0.24312,0.03
90000000,95000000,1003,0,42,0.24654,0.04
95000000,100000000,1004,1,43,0.24881,0.05
100000000,105000000,1000,2,44,0.2499,0.06
105000000,110000000,1001,3,45,0.2498,0.0
110000000,115000000,1002,4,46,0.24853,0.01
115000000,120000000,1003,5,47,0.24608,0.02
120000000,125000000,1004,6,42,0.24247,0.03
125000000,130000000,1000,7,43,0.23772,0.04
130000000,135000000,1001,8,44,0.23186,0.05
135000000,140000000,1002,0,45,0.22493,0.06
140000000,145000000,1003,1,46,0.21696,0.0
145000000,150000000,1004,2,47,0.208,0.01
150000000,155000000,1000,3,42,0.19811,0.02
155000000,160000000,1001,4,43,0.18735,0.03
160000000,165000000,1002,5,44,0.17577,0.04
165000000,170000000,1003,6,45,0.16344,0.05
170000000,175000000,1004,7,46,0.15045,0.06
175000000,180000000,1000,8,47,0.13686,0.0
180000000,185000000,1001,0,42,0.12276,0.01
185000000,190000000,1002,1,43,0.10823,0.02
190000000,195000000,1003,2,44,0.09336,0.03
195000000,200000000,1004,3,45,0.07822,0.04
200000000,205000000,1000,4,46,0.06292,0.05
205000000,210000000,1001,5,47,0.05245,0.06
